0–1,0.010888,"100,000","1,089","99,056","7,488,072",74.9,,,,
1–2,0.000661,"98,911",65,"98,878","7,389,016",74.7,,,,
2–3,0.000413,"98,846",41,"98,825","7,290,138",73.8,,,,
3–4,0.000312,"98,805",31,"98,790","7,191,312",72.8,,,,
4–5,0.000266,"98,774",26,"98,761","7,092,523",71.8,,,,
5–6,0.000234,"98,748",23,"98,736","6,993,761",70.8,,,,
6–7,0.000208,"98,725",21,"98,715","6,895,025",69.8,,,,
7–8,0.000188,"98,704",19,"98,695","6,796,310",68.9,,,,
8–9,0.000168,"98,686",17,"98,678","6,697,615",67.9,,,,
9–10,0.000150,"98,669",15,"98,662","6,598,938",66.9,,,,
10–11,0.000141,"98,654",14,"98,647","6,500,276",65.9,,,,
11–12,0.000154,"98,641",15,"98,633","6,401,628",64.9,,,,
12–13,0.000201,"98,625",20,"98,615","6,302,996",63.9,,,,
13–14,0.000291,"98,605",29,"98,591","6,204,380",62.9,,,,
14–15,0.000413,"98,577",41,"98,556","6,105,789",61.9,,,,
15–16,0.000544,"98,536",54,"98,509","6,007,233",61.0,,,,
16–17,0.000675,"98,483",67,"98,449","5,908,723",60.0,,,,
17–18,0.000814,"98,416",80,"98,376","5,810,274",59.0,,,,
18–19,0.000955,"98,336",94,"98,289","5,711,898",58.1,,,,
19–20,0.001095,"98,242",108,"98,188","5,613,609",57.1,,,,
20–21,0.001236,"98,134",121,"98,074","5,515,421",56.2,,,,
21–22,0.001369,"98,013",134,"97,946","5,417,347",55.3,,,,
22–23,0.001474,"97,879",144,"97,807","5,319,401",54.3,,,,
23–24,0.001541,"97,735",151,"97,659","5,221,594",53.4,,,,
24–25,0.001580,"97,584",154,"97,507","5,123,934",52.5,,,,
25–26,0.001611,"97,430",157,"97,351","5,026,427",51.6,,,,
26–27,0.001646,"97,273",160,"97,193","4,929,076",50.7,,,,
27–28,0.001682,"97,113",163,"97,031","4,831,883",49.8,,,,
28–29,0.001726,"96,949",167,"96,866","4,734,852",48.8,,,,
29–30,0.001781,"96,782",172,"96,696","4,637,986",47.9,,,,
