0–1,0.009865,"100,000",987,"99,141","7,807,910",78.1,,,,
1–2,0.000622,"99,013",62,"98,983","7,708,769",77.9,,,,
2–3,0.000382,"98,952",38,"98,933","7,609,787",76.9,,,,
3–4,0.000228,"98,914",23,"98,903","7,510,854",75.9,,,,
4–5,0.000263,"98,892",26,"98,879","7,411,951",75.0,,,,
5–6,0.000209,"98,866",21,"98,855","7,313,072",74.0,,,,
6–7,0.000180,"98,845",18,"98,836","7,214,217",73.0,,,,
7–8,0.000159,"98,827",16,"98,819","7,115,381",72.0,,,,
8–9,0.000145,"98,811",14,"98,804","7,016,562",71.0,,,,
9–10,0.000138,"98,797",14,"98,790","6,917,758",70.0,,,,
10–11,0.000138,"98,783",14,"98,777","6,818,968",69.0,,,,
11–12,0.000146,"98,770",14,"98,762","6,720,191",68.0,,,,
12–13,0.000162,"98,755",16,"98,747","6,621,429",67.0,,,,
13–14,0.000185,"98,739",18,"98,730","6,522,681",66.1,,,,
14–15,0.000216,"98,721",21,"98,710","6,423,951",65.1,,,,
15–16,0.000250,"98,700",25,"98,687","6,325,241",64.1,,,,
16–17,0.000291,"98,675",29,"98,661","6,226,554",63.1,,,,
17–18,0.000342,"98,646",34,"98,629","6,127,893",62.1,,,,
18–19,0.000407,"98,613",40,"98,592","6,029,263",61.1,,,,
19–20,0.000480,"98,572",47,"98,549","5,930,671",60.2,,,,
20–21,0.000558,"98,525",55,"98,498","5,832,122",59.2,,,,
21–22,0.000633,"98,470",62,"98,439","5,733,625",58.2,,,,
22–23,0.000697,"98,408",69,"98,373","5,635,186",57.3,,,,
23–24,0.000746,"98,339",73,"98,302","5,536,813",56.3,,,,
24–25,0.000784,"98,266",77,"98,227","5,438,510",55.3,,,,
25–26,0.000820,"98,189",80,"98,148","5,340,283",54.4,,,,
26–27,0.000859,"98,108",84,"98,066","5,242,134",53.4,,,,
27–28,0.000902,"98,024",88,"97,980","5,144,068",52.5,,,,
28–29,0.000954,"97,936",93,"97,889","5,046,089",51.5,,,,
29–30,0.001018,"97,842",100,"97,792","4,948,200",50.6,,,,
30–31,0.001092,"97,742",107,"97,689","4,850,407",49.6,,,,
31–32,0.001176,"97,636",115,"97,578","4,752,718",48.7,,,,
32–33,0.001266,"97,521",123,"97,459","4,655,140",47.7,,,,
33–34,0.001357,"97,397",132,"97,331","4,557,681",46.8,,,,
34–35,0.001447,"97,265",141,"97,195","4,460,349",45.9,,,,
35–36,0.001540,"97,125",150,"97,050","4,363,155",44.9,,,,
36–37,0.001642,"96,975",159,"96,895","4,266,105",44.0,,,,
