0–1,0.004774,"100,000",477,"99,575","8,430,736",84.3,,,,
1–2,0.000302,"99,523",30,"99,508","8,331,161",83.7,,,,
2–3,0.000161,"99,493",16,"99,485","8,231,654",82.7,,,,
3–4,0.000126,"99,477",13,"99,470","8,132,169",81.7,,,,
4–5,0.000099,"99,464",10,"99,459","8,032,699",80.8,,,,
5–6,0.000103,"99,454",10,"99,449","7,933,240",79.8,,,,
6–7,0.000099,"99,444",10,"99,439","7,833,791",78.8,,,,
7–8,0.000094,"99,434",9,"99,429","7,734,352",77.8,,,,
8–9,0.000087,"99,425",9,"99,420","7,634,923",76.8,,,,
9–10,0.000079,"99,416",8,"99,412","7,535,502",75.8,,,,
10–11,0.000072,"99,408",7,"99,405","7,436,090",74.8,,,,
11–12,0.000071,"99,401",7,"99,397","7,336,686",73.8,,,,
12–13,0.000083,"99,394",8,"99,390","7,237,288",72.8,,,,
13–14,0.000112,"99,386",11,"99,380","7,137,898",71.8,,,,
14–15,0.000154,"99,374",15,"99,367","7,038,518",70.8,,,,
15–16,0.000203,"99,359",20,"99,349","6,939,152",69.8,,,,
16–17,0.000250,"99,339",25,"99,327","6,839,802",68.9,,,,
17–18,0.000289,"99,314",29,"99,300","6,740,476",67.9,,,,
18–19,0.000317,"99,285",31,"99,270","6,641,176",66.9,,,,
19–20,0.000334,"99,254",33,"99,237","6,541,906",65.9,,,,
20–21,0.000350,"99,221",35,"99,204","6,442,669",64.9,,,,
21–22,0.000368,"99,186",37,"99,168","6,343,465",64.0,,,,
22–23,0.000384,"99,150",38,"99,131","6,244,297",63.0,,,,
23–24,0.000395,"99,112",39,"99,092","6,145,167",62.0,,,,
24–25,0.000405,"99,072",40,"99,052","6,046,075",61.0,,,,
25–26,0.000413,"99,032",41,"99,012","5,947,023",60.1,,,,
26–27,0.000422,"98,991",42,"98,970","5,848,011",59.1,,,,
27–28,0.000436,"98,950",43,"98,928","5,749,040",58.1,,,,
28–29,0.000456,"98,906",45,"98,884","5,650,112",57.1,,,,
29–30,0.000483,"98,861",48,"98,837","5,551,229",56.2,,,,
30–31,0.000514,"98,814",51,"98,788","5,452,391",55.2,,,,
31–32,0.000545,"98,763",54,"98,736","5,353,603",54.2,,,,
32–33,0.000574,"98,709",57,"98,681","5,254,867",53.2,,,,
33–34,0.000599,"98,652",59,"98,623","5,156,187",52.3,,,,
34–35,0.000621,"98,593",61,"98,563","5,057,564",51.3,,,,
35–36,0.000647,"98,532",64,"98,500","4,959,001",50.3,,,,
36–37,0.000677,"98,468",67,"98,435","4,860,501",49.4,,,,
37–38,0.000707,"98,402",70,"98,367","4,762,066",48.4,,,,
38–39,0.000737,"98,332",73,"98,296","4,663,699",47.4,,,,
39–40,0.000771,"98,259",76,"98,222","4,565,403",46.5,,,,
40–41,0.000806,"98,184",79,"98,144","4,467,182",45.5,,,,
41–42,0.000852,"98,105",84,"98,063","4,369,038",44.5,,,,
42–43,0.000923,"98,021",90,"97,976","4,270,975",43.6,,,,
43–44,0.001025,"97,931",100,"97,880","4,172,999",42.6,,,,
44–45,0.001154,"97,830",113,"97,774","4,075,119",41.7,,,,
45–46,0.001299,"97,717",127,"97,654","3,977,345",40.7,,,,
46–47,0.001449,"97,590",141,"97,520","3,879,691",39.8,,,,
47–48,0.001602,"97,449",156,"97,371","3,782,172",38.8,,,,
48–49,0.001757,"97,293",171,"97,207","3,684,801",37.9,,,,
49–50,0.001915,"97,122",186,"97,029","3,587,594",36.9,,,,
50–51,0.002089,"96,936",202,"96,835","3,490,565",36.0,,,,
