0–1,0.004148,"100,000",415,"99,636","8,098,114",81.0,,,,
1–2,0.000250,"99,585",25,"99,573","7,998,478",80.3,,,,
2–3,0.000160,"99,560",16,"99,552","7,898,906",79.3,,,,
3–4,0.000138,"99,544",14,"99,538","7,799,353",78.4,,,,
4–5,0.000107,"99,531",11,"99,525","7,699,816",77.4,,,,
5–6,0.000099,"99,520",10,"99,515","7,600,290",76.4,,,,
6–7,0.000089,"99,510",9,"99,506","7,500,775",75.4,,,,
7–8,0.000082,"99,501",8,"99,497","7,401,269",74.4,,,,
8–9,0.000076,"99,493",8,"99,489","7,301,772",73.4,,,,
9–10,0.000073,"99,486",7,"99,482","7,202,283",72.4,,,,
10–11,0.000073,"99,478",7,"99,475","7,102,801",71.4,,,,
11–12,0.000079,"99,471",8,"99,467","7,003,326",70.4,,,,
12–13,0.000096,"99,463",10,"99,458","6,903,859",69.4,,,,
13–14,0.000124,"99,454",12,"99,447","6,804,401",68.4,,,,
14–15,0.000162,"99,441",16,"99,433","6,704,953",67.4,,,,
15–16,0.000205,"99,425",20,"99,415","6,605,520",66.4,,,,
16–17,0.000249,"99,405",25,"99,392","6,506,105",65.5,,,,
17–18,0.000295,"99,380",29,"99,365","6,406,713",64.5,,,,
18–19,0.000342,"99,351",34,"99,334","6,307,347",63.5,,,,
19–20,0.000389,"99,317",39,"99,297","6,208,014",62.5,,,,
20–21,0.000438,"99,278",43,"99,256","6,108,716",61.5,,,,
21–22,0.000489,"99,235",48,"99,210","6,009,460",60.6,,,,
22–23,0.000538,"99,186",53,"99,160","5,910,249",59.6,,,,
23–24,0.000583,"99,133",58,"99,104","5,811,090",58.6,,,,
24–25,0.000625,"99,075",62,"99,044","5,711,986",57.7,,,,
25–26,0.000664,"99,013",66,"98,980","5,612,941",56.7,,,,
26–27,0.000705,"98,947",70,"98,913","5,513,961",55.7,,,,
27–28,0.000750,"98,878",74,"98,841","5,415,048",54.8,,,,
28–29,0.000803,"98,804",79,"98,764","5,316,208",53.8,,,,
29–30,0.000863,"98,724",85,"98,682","5,217,444",52.8,,,,
30–31,0.000930,"98,639",92,"98,593","5,118,762",51.9,,,,
31–32,0.000996,"98,547",98,"98,498","5,020,169",50.9,,,,
