0–1,0.005168,"100,000",517,"99,547","7,608,533",76.1,,,,
1–2,0.000436,"99,483",43,"99,462","7,508,986",75.5,,,,
2–3,0.000319,"99,440",32,"99,424","7,409,524",74.5,,,,
3–4,0.000204,"99,408",20,"99,398","7,310,100",73.5,,,,
4–5,0.000165,"99,388",16,"99,380","7,210,702",72.6,,,,
5–6,0.000157,"99,371",16,"99,364","7,111,322",71.6,,,,
6–7,0.000135,"99,356",13,"99,349","7,011,959",70.6,,,,
7–8,0.000120,"99,342",12,"99,336","6,912,610",69.6,,,,
8–9,0.000108,"99,331",11,"99,325","6,813,273",68.6,,,,
9–10,0.000102,"99,320",10,"99,315","6,713,948",67.6,,,,
10–11,0.000105,"99,310",10,"99,304","6,614,633",66.6,,,,
11–12,0.000124,"99,299",12,"99,293","6,515,329",65.6,,,,
12–13,0.000165,"99,287",16,"99,279","6,416,036",64.6,,,,
13–14,0.000231,"99,271",23,"99,259","6,316,757",63.6,,,,
14–15,0.000319,"99,248",32,"99,232","6,217,498",62.6,,,,
15–16,0.000415,"99,216",41,"99,195","6,118,266",61.7,,,,
16–17,0.000517,"99,175",51,"99,149","6,019,071",60.7,,,,
17–18,0.000637,"99,123",63,"99,092","5,919,922",59.7,,,,
18–19,0.000774,"99,060",77,"99,022","5,820,830",58.8,,,,
19–20,0.000922,"98,984",91,"98,938","5,721,808",57.8,,,,
20–21,0.001076,"98,892",106,"98,839","5,622,870",56.9,,,,
21–22,0.001224,"98,786",121,"98,726","5,524,031",55.9,,,,
22–23,0.001356,"98,665",134,"98,598","5,425,305",55.0,,,,
23–24,0.001464,"98,531",144,"98,459","5,326,707",54.1,,,,
24–25,0.001554,"98,387",153,"98,311","5,228,248",53.1,,,,
25–26,0.001636,"98,234",161,"98,154","5,129,937",52.2,,,,
26–27,0.001715,"98,073",168,"97,989","5,031,784",51.3,,,,
27–28,0.001790,"97,905",175,"97,818","4,933,794",50.4,,,,
28–29,0.001861,"97,730",182,"97,639","4,835,977",49.5,,,,
29–30,0.001932,"97,548",188,"97,454","4,738,337",48.6,,,,
30–31,0.002004,"97,360",195,"97,262","4,640,884",47.7,,,,
31–32,0.002075,"97,164",202,"97,064","4,543,622",46.8,,,,
32–33,0.002139,"96,963",207,"96,859","4,446,558",45.9,,,,
33–34,0.002192,"96,755",212,"96,649","4,349,699",45.0,,,,
34–35,0.002239,"96,543",216,"96,435","4,253,049",44.1,,,,
35–36,0.002292,"96,327",221,"96,217","4,156,614",43.2,,,,
36–37,0.002353,"96,106",226,"95,993","4,060,397",42.2,,,,
37–38,0.002410,"95,880",231,"95,765","3,964,404",41.3,,,,
38–39,0.002464,"95,649",236,"95,531","3,868,639",40.4,,,,
39–40,0.002525,"95,414",241,"95,293","3,773,108",39.5,,,,
40–41,0.002607,"95,173",248,"95,049","3,677,815",38.6,,,,
41–42,0.002721,"94,924",258,"94,795","3,582,766",37.7,,,,
42–43,0.002862,"94,666",271,"94,531","3,487,971",36.8,,,,
43–44,0.003024,"94,395",285,"94,252","3,393,440",35.9,,,,
44–45,0.003204,"94,110",302,"93,959","3,299,188",35.1,,,,
45–46,0.003400,"93,808",319,"93,649","3,205,229",34.2,,,,
46–47,0.003625,"93,489",339,"93,320","3,111,580",33.3,,,,
47–48,0.003896,"93,150",363,"92,969","3,018,260",32.4,,,,
48–49,0.004229,"92,788",392,"92,591","2,925,291",31.5,,,,
49–50,0.004624,"92,395",427,"92,182","2,832,700",30.7,,,,
50–51,0.005046,"91,968",464,"91,736","2,740,518",29.8,,,,
51–52,0.005497,"91,504",503,"91,252","2,648,782",28.9,,,,
52–53,0.006017,"91,001",548,"90,727","2,557,530",28.1,,,,
53–54,0.006601,"90,453",597,"90,155","2,466,803",27.3,,,,
54–55,0.007220,"89,856",649,"89,532","2,376,648",26.4,,,,
55–56,0.007844,"89,207",700,"88,857","2,287,117",25.6,,,,
56–57,0.008465,"88,508",749,"88,133","2,198,259",24.8,,,,
57–58,0.009105,"87,758",799,"87,359","2,110,126",24.0,,,,
58–59,0.009785,"86,959",851,"86,534","2,022,767",23.3,,,,
59–60,0.010517,"86,108",906,"85,656","1,936,233",22.5,,,,
60–61,0.011317,"85,203",964,"84,721","1,850,578",21.7,,,,
61–62,0.012157,"84,239","1,024","83,727","1,765,857",21.0,,,,
62–63,0.013005,"83,215","1,082","82,673","1,682,130",20.2,,,,
63–64,0.013837,"82,132","1,136","81,564","1,599,457",19.5,,,,
64–65,0.014674,"80,996","1,189","80,402","1,517,893",18.7,,,,
65–66,0.015549,"79,807","1,241","79,187","1,437,491",18.0,,,,
66–67,0.016597,"78,566","1,304","77,914","1,358,304",17.3,,,,
67–68,0.017770,"77,262","1,373","76,576","1,280,390",16.6,,,,
68–69,0.019113,"75,890","1,450","75,164","1,203,814",15.9,,,,
69–70,0.020735,"74,439","1,544","73,667","1,128,650",15.2,,,,
70–71,0.022262,"72,896","1,623","72,084","1,054,982",14.5,,,,
71–72,0.024516,"71,273","1,747","70,399","982,898",13.8,,,,
72–73,0.026511,"69,525","1,843","68,604","912,499",13.1,,,,
73–74,0.028989,"67,682","1,962","66,701","843,895",12.5,,,,
74–75,0.031512,"65,720","2,071","64,685","777,194",11.8,,,,
75–76,0.034727,"63,649","2,210","62,544","712,510",11.2,,,,
