"Table 1. Life table for the total population: United States, 2017",,,,,,,,,
Age (years),Probability of dying between ages x and x + 1,Number surviving to age x,Number dying between ages x and x + 1,Person-years lived between ages x and x + 1,Total number of person-years lived above age x,Expectation of life at age x,,,
,qx,lx,dx,Lx,Tx,ex,,,
0–1,0.005777,"100,000",578,"99,493","7,860,752",78.6,,,
1–2,0.000382,"99,422",38,"99,403","7,761,259",78.1,,,
2–3,0.000248,"99,384",25,"99,372","7,661,855",77.1,,,
3–4,0.000193,"99,360",19,"99,350","7,562,483",76.1,,,
4–5,0.000149,"99,341",15,"99,333","7,463,133",75.1,,,
5–6,0.000141,"99,326",14,"99,319","7,363,800",74.1,,,
6–7,0.000126,"99,312",13,"99,305","7,264,481",73.1,,,
7–8,0.000114,"99,299",11,"99,294","7,165,176",72.2,,,
8–9,0.000104,"99,288",10,"99,283","7,065,882",71.2,,,
9–10,0.000095,"99,278",9,"99,273","6,966,600",70.2,,,
10–11,0.000093,"99,268",9,"99,264","6,867,327",69.2,,,
11–12,0.000103,"99,259",10,"99,254","6,768,063",68.2,,,
12–13,0.000133,"99,249",13,"99,242","6,668,809",67.2,,,
13–14,0.000186,"99,236",18,"99,226","6,569,567",66.2,,,
14–15,0.000258,"99,217",26,"99,204","6,470,341",65.2,,,
15–16,0.000338,"99,191",34,"99,175","6,371,137",64.2,,,
16–17,0.000421,"99,158",42,"99,137","6,271,962",63.3,,,
17–18,0.000510,"99,116",51,"99,091","6,172,825",62.3,,,
18–19,0.000603,"99,066",60,"99,036","6,073,734",61.3,,,
19–20,0.000698,"99,006",69,"98,971","5,974,699",60.3,,,
20–21,0.000795,"98,937",79,"98,897","5,875,727",59.4,,,
21–22,0.000889,"98,858",88,"98,814","5,776,830",58.4,,,
22–23,0.000970,"98,770",96,"98,722","5,678,016",57.5,,,
23–24,0.001032,"98,674",102,"98,623","5,579,293",56.5,,,
24–25,0.001080,"98,573",106,"98,519","5,480,670",55.6,,,
25–26,0.001123,"98,466",111,"98,411","5,382,151",54.7,,,
26–27,0.001165,"98,355",115,"98,298","5,283,740",53.7,,,
27–28,0.001207,"98,241",119,"98,182","5,185,442",52.8,,,
28–29,0.001252,"98,122",123,"98,061","5,087,260",51.8,,,
29–30,0.001300,"97,999",127,"97,936","4,989,199",50.9,,,
30–31,0.001351,"97,872",132,"97,806","4,891,263",50.0,,,
31–32,0.001402,"97,740",137,"97,671","4,793,457",49.0,,,
32–33,0.001454,"97,603",142,"97,532","4,695,786",48.1,,,
33–34,0.001506,"97,461",147,"97,388","4,598,254",47.2,,,
34–35,0.001556,"97,314",151,"97,238","4,500,867",46.3,,,
35–36,0.001615,"97,163",157,"97,084","4,403,628",45.3,,,
36–37,0.001679,"97,006",163,"96,924","4,306,544",44.4,,,
37–38,0.001740,"96,843",168,"96,759","4,209,619",43.5,,,
38–39,0.001798,"96,674",174,"96,588","4,112,861",42.5,,,
39–40,0.001860,"96,501",179,"96,411","4,016,273",41.6,,,
40–41,0.001936,"96,321",186,"96,228","3,919,862",40.7,,,
41–42,0.002036,"96,135",196,"96,037","3,823,634",39.8,,,
42–43,0.002160,"95,939",207,"95,835","3,727,597",38.9,,,
43–44,0.002306,"95,732",221,"95,621","3,631,762",37.9,,,
44–45,0.002470,"95,511",236,"95,393","3,536,140",37.0,,,
45–46,0.002647,"95,275",252,"95,149","3,440,747",36.1,,,
46–47,0.002846,"95,023",270,"94,888","3,345,598",35.2,,,
47–48,0.003079,"94,753",292,"94,607","3,250,710",34.3,,,
48–49,0.003357,"94,461",317,"94,302","3,156,104",33.4,,,
49–50,0.003682,"94,144",347,"93,970","3,061,801",32.5,,,
50–51,0.004030,"93,797",378,"93,608","2,967,831",31.6,,,
51–52,0.004401,"93,419",411,"93,214","2,874,223",30.8,,,
52–53,0.004820,"93,008",448,"92,784","2,781,009",29.9,,,
53–54,0.005285,"92,560",489,"92,315","2,688,226",29.0,,,
54–55,0.005778,"92,070",532,"91,804","2,595,911",28.2,,,
55–56,0.006284,"91,538",575,"91,251","2,504,106",27.4,,,
56–57,0.006794,"90,963",618,"90,654","2,412,855",26.5,,,
57–58,0.007319,"90,345",661,"90,015","2,322,201",25.7,,,
58–59,0.007869,"89,684",706,"89,331","2,232,186",24.9,,,
59–60,0.008456,"88,978",752,"88,602","2,142,855",24.1,,,
60–61,0.009093,"88,226",802,"87,825","2,054,253",23.3,,,
61–62,0.009768,"87,424",854,"86,997","1,966,428",22.5,,,
62–63,0.010467,"86,570",906,"86,117","1,879,431",21.7,,,
63–64,0.011181,"85,664",958,"85,185","1,793,315",20.9,,,
64–65,0.011922,"84,706","1,010","84,201","1,708,130",20.2,,,
65–66,0.012710,"83,696","1,064","83,164","1,623,929",19.4,,,
66–67,0.013621,"82,632","1,126","82,069","1,540,765",18.6,,,
67–68,0.014620,"81,507","1,192","80,911","1,458,695",17.9,,,
68–69,0.015770,"80,315","1,267","79,682","1,377,785",17.2,,,
69–70,0.017100,"79,048","1,352","78,373","1,298,103",16.4,,,
70–71,0.018428,"77,697","1,432","76,981","1,219,730",15.7,,,
71–72,0.020317,"76,265","1,549","75,490","1,142,750",15.0,,,
72–73,0.022102,"74,715","1,651","73,890","1,067,259",14.3,,,
73–74,0.024194,"73,064","1,768","72,180","993,370",13.6,,,
74–75,0.026342,"71,296","1,878","70,357","921,190",12.9,,,
75–76,0.029042,"69,418","2,016","68,410","850,832",12.3,,,
76–77,0.032001,"67,402","2,157","66,324","782,422",11.6,,,
77–78,0.035443,"65,245","2,313","64,089","716,098",11.0,,,
78–79,0.039257,"62,933","2,471","61,698","652,009",10.4,,,
79–80,0.043393,"60,462","2,624","59,150","590,312",9.8,,,
80–81,0.048163,"57,839","2,786","56,446","531,161",9.2,,,
81–82,0.053216,"55,053","2,930","53,588","474,715",8.6,,,
82–83,0.059240,"52,123","3,088","50,579","421,127",8.1,,,
83–84,0.066564,"49,035","3,264","47,403","370,548",7.6,,,
84–85,0.074045,"45,771","3,389","44,077","323,145",7.1,,,
85–86,0.081954,"42,382","3,473","40,646","279,068",6.6,,,
86–87,0.090879,"38,909","3,536","37,141","238,422",6.1,,,
87–88,0.101938,"35,373","3,606","33,570","201,281",5.7,,,
88–89,0.114075,"31,767","3,624","29,955","167,711",5.3,,,
89–90,0.127331,"28,143","3,584","26,352","137,756",4.9,,,
90–91,0.141733,"24,560","3,481","22,819","111,405",4.5,,,
91–92,0.157289,"21,079","3,315","19,421","88,585",4.2,,,
92–93,0.173986,"17,763","3,091","16,218","69,164",3.9,,,
93–94,0.191788,"14,673","2,814","13,266","52,946",3.6,,,
94–95,0.210633,"11,859","2,498","10,610","39,680",3.3,,,
95–96,0.230432,"9,361","2,157","8,282","29,071",3.1,,,
96–97,0.251066,"7,204","1,809","6,300","20,788",2.9,,,
97–98,0.272395,"5,395","1,470","4,660","14,489",2.7,,,
98–99,0.294253,"3,926","1,155","3,348","9,828",2.5,,,
99–100,0.316456,"2,770",877,"2,332","6,480",2.3,,,
100 ,1.000000,"1,894","1,894","4,148","4,148",2.2,,,
"SOURCE: NCHS, National Vital Statistics System, Mortality.",,,,,,,,,
